Titre,Nombre de pièces,Ville,Prix,Esesntiel,autre,Titre_,nb_pieces_,prix_,Chambres,Surface_m2,Pieces,Salle_de_bain,Sejour_m2,Terrain_m2,Alarme,Place de parking,Jardin privatif,Cave,Cheminée,Climatisation,Dépendance,Garage,Gardien,Grenier,Meublé,Piscine,Terrasse,Balcon,Étage
Appartement à vendre,"4 pièces •                            84,73 m2",Ris-Orangis,214 900 €,"['4 pièces', 'Surface 84,73 m²', '3 chambres', '1 salle de bain/eau']","['Ascenseur', 'Balcon', 'Garage', '1 place de parking']",Appartement,4.0,214900,3.0,84.0,4.0,1.0,,,False,True,False,False,False,False,False,True,False,False,False,False,False,True,
Maison à vendre,"6 pièces •                            122,64 m2",Tigery,479 000 €,"['6 pièces', 'Surface 122,64 m²', '4 chambres', '2 salles de bain/eau', 'Terrain 335 m²', 'Séjour 54,12 m²']","['Terrasse', 'Garage', 'Avec jardin privatif']",Maison,6.0,479000,4.0,122.0,6.0,2.0,54.0,335.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,
Maison à vendre,5 pièces •                            97 m2,Ris-Orangis,326 000 €,"['5 pièces', 'Surface 97 m²', '3 chambres', '2 salles de bain/eau', 'Terrain 325 m²', 'Séjour 42 m²']","['Grenier', 'Garage', 'Avec jardin privatif']",Maison,5.0,326000,3.0,97.0,5.0,2.0,42.0,325.0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,
Maison à vendre,5 pièces •                            139 m2,Vigneux-sur-Seine,414 900 €,"['5 pièces', 'Surface 139 m²', '4 chambres', '2 salles de bain/eau', 'Terrain 427 m²', 'Séjour 53 m²']","['Climatisation', '1 place de parking']",Maison,5.0,414900,4.0,139.0,5.0,2.0,53.0,427.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,
Appartement à vendre,"3 pièces •                            58,40 m2",Brétigny-sur-Orge,172 000 €,"['3 pièces', 'Surface 58,40 m²', '2 chambres', '1 salle de bain/eau', 'Séjour 13,20 m²']","['Terrasse', 'Cave', 'Avec jardin privatif', '1 place de parking', ""Bâtiment composé d'un étage""]",Appartement,3.0,172000,2.0,58.0,3.0,1.0,13.0,,False,True,True,True,False,False,False,False,False,False,False,False,True,False,1.0
Appartement à vendre,1 pièce •                            18 m2,Verrières-le-Buisson,117 000 €,"['1 pièce', 'Surface 18 m²', '1 salle de bain/eau', 'Terrain 18 m²']",[],Appartement,1.0,117000,,18.0,1.0,1.0,,18.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Maison à vendre,1 pièce •                            60 m2,Villeconin,182 000 €,"['1 pièce', 'Surface 60 m²', 'Terrain 163 m²']","['Grenier', 'Cave', 'Avec jardin privatif', '1 place de parking']",Maison,1.0,182000,,60.0,1.0,,,163.0,False,True,True,True,False,False,False,False,False,True,False,False,False,False,
Appartement à vendre,"4 pièces •                            95,25 m2",Vigneux-sur-Seine,180 000 €,"['4 pièces', 'Surface 95 m²', '3 chambres', '1 salle de bain/eau']","['Ascenseur', 'Gardien', 'Balcon', '1 place de parking']",Appartement,4.0,180000,3.0,95.0,4.0,1.0,,,False,True,False,False,False,False,False,False,True,False,False,False,False,True,
Appartement à vendre,"2 pièces •                            44,04 m2",Villabé,124 000 €,"['2 pièces', 'Surface 44 m²', '1 chambre', '1 salle de bain/eau', 'Séjour 18 m²']","['Cave', 'Bâtiment composé de 3 étages']",Appartement,2.0,124000,,44.0,2.0,1.0,18.0,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,3.0
Appartement à vendre,2 pièces •                            66 m2,Draveil,175 000 €,"['2 pièces', 'Surface 66 m²', '1 chambre', '1 salle de bain/eau']","['Ascenseur', 'Gardien', 'Balcon', '1 place de parking', ""Bâtiment composé d'un étage""]",Appartement,2.0,175000,,66.0,2.0,1.0,,,False,True,False,False,False,False,False,False,True,False,False,False,False,True,1.0
